version,date,content
Slack 25.05.10,9 May 2025,"ever have those weeks when it feels like nothing’s happening, but then you look back later and realise a lot of things were actually happening? this is one of those weeks for the app."
Slack 25.04.50,30 April 2025,user groups with periods in their names were not properly autocompleting when typing out an @mention. our own group of mobile engineers has confirmed that this bug has been fixed — full stop.
Slack 25.04.30,16 April 2025,"messages scheduled to be sent at a later time were sometimes failing to send at all. that certainly wasn't our intention, but you know what they say about good intentions. we're paving the way for a more successful future with this update.when using the talkback feature, some of our error messages were not being read out along with the field that triggered them. if an error message is written in slack, but no one is able to hear it, does it exist? the answer is now a resoundingly audible ""yes."""
Slack 25.04.20,9 April 2025,don’t mind us – just making a few small adjustments to keep the app in tip-top shape. more to come soon. cheerio!
Slack 25.04.10,2 April 2025,"posting a link trigger to a workflow was causing the url to redirect to a browser, wherein the workflow in question would abruptly fail. kind of the opposite of ""flow,"" come to think of it. this ""workclog"" is now unblocked."
Slack 25.03.40,26 March 2025,"within lists, fields with emoji for their names weren't rendering, instead displaying the description text (:like-so:). we hope this update takes you from :frowning: to :smiley:."
Slack 25.03.30,19 March 2025,"a little reminder as you go about your day: the world is a more unique place simply because you’re part of it, and you’ve affected others in ways that you can’t imagine. oh, and no big changes to the app this time. happy messaging!"
Slack 25.02.41,5 March 2025,"hard work is happening this week, but nothing that we can easily describe. it’s like a duck swimming on a pond. under the water, the duck is paddling furiously, but on top, all that can be seen is the gentle gliding of a bird on water. this week, slack is the duck."
Slack 25.03.10,5 March 2025,"what’s newthis update changes the ""back"" button from ios-style chevrons to android-style arrows. sure, it's not our most sophisticated or technically advanced update, but it's nice to have another arrow in our quiver nonetheless."
Slack 25.02.40,26 February 2025,"tapping the search icon (magnifying glass) in a channel was sometimes causing the app to crash. we’re … pretty sure that’s not what you were looking for. that said, if it's a bug fix you seek? well, look no further."
Slack 25.02.30,19 February 2025,"drafts and scheduled messages were not syncing from the android app to desktop, leaving whatever you started on mobile confined to the portable experience. the message in our own outbox reads: ""the handoff from handheld has now been handled.""when starting a group dm, our copy told you, ""no one else can join it."" that's no longer true, as you now have the option to add people to your existing dms. good news, poor messaging (our bad)."
Slack 25.02.20,13 February 2025,we’ve tinkered with the internal workings and polished some rough edges. the app is now better than it was.
Slack 25.02.10,5 February 2025,"a little reminder as you go about your day: the world is a more unique place simply because you’re part of it, and you’ve affected others in ways that you can’t imagine. oh, and no big changes to the app this time. happy messaging!"
Slack 25.01.50,29 January 2025,"scheduling messages for a time in the past (“today at 12:00 a.m.”) was causing a crash, giving new meaning to the phrase “right place, wrong time.” we hope our new error message is more helpful than a total shutdown (time travel is still in closed beta)."
Slack 25.01.40,23 January 2025,"we don’t have anything in particular to call out for this release, but we thank you for staying up to date all the same."
Slack 25.01.30,16 January 2025,"this week’s is not a huge update, but let that not convince you it’s unimportant. they can’t all be red-letter days (or updates), but each day we’re here is a good one. this update is a good one too."
Slack 25.01.20,8 January 2025,"this week we give you minor improvements too small to mention, but did you know that you can read through our past release notes any time you like? discover a feature! see how far we’ve come! have yourself a sensible chuckle! they’re all available over at https://slack.com/release-notes."
Slack 24.12.20,11 December 2024,"nothing to report this time. well, nothing that you can see, but plenty going on under the surface. we’re working hard to make slack better; this time it’s not so visible."
Slack 24.12.10,5 December 2024,"nothing major to report this week. nothing minor to report either, as it turns out. work is still happening, mind you – it’s just more the sort that happens behind the curtain in between scenes at a play. we’re quietly setting the stage for what’s to come."
Slack 24.11.30,20 November 2024,"thanks for updating the app! this round’s changes don’t lend themselves to tidy summaries, but we’re doing all that we can to make sure the app is running as smoothly as possible. here’s to incremental gains!"
Slack 24.11.20,13 November 2024,"users trying to view a profile with the ooo status were out of luck when the app crashed on them. the whole experience was entirely out of line, and this bug is now out of the picture."
Slack 24.11.10,6 November 2024,"tapping on a threaded reply in search results was opening the correct channel but not the thread itself. as it turns out, “somewhere over there” is not a particularly helpful way to surface results. we’ve tied up all loose threads, and hope your patience has not unraveled in the meantime.the mechanism governing the sending of audio clips was unsound, leading to failed uploads and stuck error messages. if you ever had to call an audible when audio didn’t send, this fix is for you.certain slack themes made the android status bar at the top of the screen quite difficult to make out. in app design, there are many things you’d like to remain invisible; this isn’t one of them.emoji are no longer case-sensitive. we apologize for any insensitivity, just in case."
Slack 24.10.50,30 October 2024,"ever have those weeks when it feels like nothing’s happening, but then you look back later and realise a lot of things were actually happening? this is one of those weeks for the app."
Slack 24.10.40,23 October 2024,"there’s a philosophy in software that you should “fail fast,” but we reckon they’re not talking about the app crashing immediately upon launch. whatever the speed of our foibles, we always try to “fix faster.”if you were in a private canvas that had multiple sections within it, you may have noticed that the android app would not allow you to navigate across those sections. privacy is obviously paramount, but in this case we were holding things a little too close to the vest."
Slack 24.10.30,16 October 2024,"progress can be difficult to measure in the moment, but that’s not why file uploads were hard to track in dark mode. we’ve brightened up the upload progress wheel so you’ll know where you are at all times."
Slack 24.10.20,9 October 2024,"bugs were squashed, performance was improved, work was done and the result was good. please enjoy slack responsibly."
Slack 24.10.10,2 October 2024,"markup formatting was behaving more like permanent marker, with closing commands being ignored. italicizing one word? the rest of your message was going to tag along in italics as well. boundaries are important, and slack will now respect your formatting boundaries in markup.users who had been removed from all workspaces in an enterprise org were still able to take actions in some of those workspaces, which seemed … wrong? if you have to leave the building, you also have to give up the remote control.archived channels were appearing when opening search and tapping into the channels tab. while you’re still able to search for channels that have been archived, we’ve tidied up a bit and will hide them from view while you’re just browsing.sorting lists by name was not behaving reliably in the android app. we’re not sure exactly what to name this issue, but suffice it to say things were out of sorts."
Slack 24.09.40,25 September 2024,"time may be a flat circle, but it sure is useful for coordinating meetings. for that reason (and because it was unequivocally a bug), profiles in slack connect will once again correctly display a user’s local time."
Slack 24.09.30,18 September 2024,"all bugs that were fixed in this release were too small for the eye to see or too fiddly for human words to describe. nevertheless, work was done, things tinkered with and the app became subtly better."
Slack 24.09.20,11 September 2024,"there are certain things people are happy simply to observe: great works of fine art, animals in their natural habitat, a person attempting a particularly daring feat of parallel parking. most, however, would not say the same for particularly long urls, which is why we would like to apologize for the continue and cancel buttons failing to appear on our “double-check this link” pop-up.when more than four custom statuses were created, it became impossible to scroll down to slack’s default status list, as if the app were sulking in incredulity that you preferred to create your own. there is room for both tradition and innovation — enjoy both within the app once more."
Slack 24.09.10,4 September 2024,"it’s the journey, not the destination, right? okay, sometimes it’s the destination — such as when stuck on an infinite loading screen while trying to sign in using email links with two-factor authentication. maybe the real authentication was the friends we made along the way? (it wasn’t.)adding a new profile picture? if you chose “allow limited access” to your photo gallery, the app would not accept any selected photos for upload. turns out the only one limiting photo access was us."
Slack 24.08.40,28 August 2024,what’s newno big news from us this week — just sanding down some rough edges for a more comfortable experience. let us know if you run into anything that could use smoothing at feedback@slack.com!
Slack 24.08.30,21 August 2024,"fixed: dm suggestions were populating alphabetically rather than in a more useful way, such as by who you talk to most frequently. apologies to all the aaron abernathys of the world; your alphabetical supremacy has come to a close."
Slack 24.08.20,14 August 2024,"no big fixes to call out this week, but rest assured, there will be more in the future. not that introducing bugs is our aim, of course. but missteps, adjustments, errors and corrections — these are the rhythms of life and the price of growth. we hope you're enjoying the ride, no matter where you happen to find yourself at present."
Slack 24.08.10,7 August 2024,"notifications were not being sent for huddles in dms, which raises the question: how many people, in a definitional sense, are required to form a huddle? it’s one of those philosophical quandaries like the ship of theseus or “how many geese make a gander?” no matter your answer, we argue that if a bug occurs but no one is around to report it, it still must be fixed."
Slack 24.07.50,31 July 2024,what’s newdon’t mind us—just making a few small adjustments to keep the app in tip-top shape. more to come soon. cheerio!
Slack 24.07.40,24 July 2024,"the “paste as plain text” option was just plain broken, causing the app to immediately crash when it was selected. remove formatting whenever you like — this bug has itself been removed.can there be too much of a good thing? our emoji picker would seem to say “yes” as it struggled to load each new row of emoji. our devs took the opposite tack, fixing the underlying issue. enjoy the limitless potential of this emoji cornucopia."
Slack 24.07.30,17 July 2024,"when using search filters like “in:#” or “from:@,” precisely zero results would be returned. luckily for us, our engineers were able to zero in on the root of the problem. new query: “bugs in search” — results: 0.in enterprise grid workspaces, filtering for channels only from a specific workspace had a very short memory — in particular, navigating away from the app and then returning caused every channel in the org to be returned to view. quite the week for filters, eh? we’ve sifted through the code and removed all traces of this bug."
Slack 24.07.20,10 July 2024,fixed: heisenberg’s uncertainty principle states that we cannot accurately measure both the position and momentum of a given particle at the same time. slack’s uncertainty principle states that the number of reactions shown in the activity view did not always correspond to the actual number of reacji. let’s take some of the guesswork out—we’re relatively certain that this bug is now fixed.
Slack 24.07.10,3 July 2024,"what’s newhappy summer, friends! no updates to report here. just vibes."
Slack 24.06.40,26 June 2024,what’s neweverything is an itty-bitty bit better than it was before. trust us.
Slack 24.06.30,19 June 2024,"what’s newthis round’s changes may be too small to notice outright, but we’re hoping there’s a certain ineffable quality that comes through in the update. don’t you just feel better being up to date? we sure do."
Slack 24.06.20,12 June 2024,what’s newdon’t mind us—just making a few small adjustments to keep the app in tip-top shape. more to come soon. cheerio!
Slack 24.06.10,5 June 2024,"what’s newwe gather here, on the precipice of summer, to hearken back to the halcyon days of youth; a time when these sun-drenched months were synonymous with freedom, possibility, eager anticipation. there was a world undiscovered out there: in the boardwalk arcades, cloaked in salt spray. in the copper-hued fields, heavy with late dusk. in the mess of stars, keeping vigil as we staved off sleep. alas, there are no summer vacations for the slack apps, even if this update has no major changes or fixes for us to mention. but we hope this season gives you something to hold onto, if not in your own hands then in your memory for years to come."
Slack 24.05.50,29 May 2024,"what’s newsometimes all you need are the highlights—that’s why we’re introducing the recap feature from slack ai. recap lets you choose specific channels to be automatically summarized each day, so you can get the bottom line at the top of each morning. think of it like a “previously on…” segment from your favorite series. and now, on with the show!"
Slack 24.05.40,23 May 2024,"nothing major to report this time around, but if you’re the sort who diligently reads these notes every week, we offer a hearty salute in your direction. thanks for staying on top of all the goings-on in our little neighborhood. more to come soon!"
Slack 24.05.30,15 May 2024,"what’s newwe do these releases every week to keep on top of performance … but sometimes there’s nothing specific to tell you. so let’s talk about some things we could have mentioned more in the first place. like, did you know that you can long-press on a message on mobile to set it to “unread,” so it’s there waiting for you when you get to your desk? or set a reminder to look at it later? oh, you did? never mind, then. carry on."
Slack 24.05.20,8 May 2024,"the emoji picker was putting users in an emoji pickle when it refused to scroll to the very bottom of the screen, obscuring some custom emoji. if we described this bug as “custom scroll length,” would that make it any better? it would not. sorry about that."
Slack 24.05.10,1 May 2024,"fixed: switching between workspaces outside of your larger organization via the “jump to…” menu was failing. we suppose that’s less of a jump and more of a leap, but either way it was a bug. and no one enjoys leaping bugs. we are sorry for making you think about leaping bugs.fixed: oh, did you want to see additional search results? to the back of the line you go! whenever a new page of search results was loading, the app automatically scrolled all the way back to the very beginning. “one step forward, the whole journey back” is no way to make progress, so we went ahead and fixed that."
Slack 24.04.40,24 April 2024,"what’s newsay hi to slack ai! our brand-new set of generative ai tools lets you search smarter, summarize conversations instantly, and much more. head over to the help center to see how you can put slack ai to work for you: https://slack.com/help/articles/25076892548883-introducing--slack-ai"
Slack 24.04.30,17 April 2024,"fixed: did you notice that custom status suggestions for your org were showing up on desktop but not mobile? turns out things were just a little dis-org-anized on our end. ha ha. ha. no, but we’re sorry."
Slack 24.04.20,10 April 2024,"what’s newis it something in the air? a certain je ne sais quoi that’s hard to put a finger on? the world seems brighter, music sounds sweeter … what could it be? the slack app has been updated, and we can neither confirm nor deny that we’re responsible for any lightness that descends upon you."
Slack 24.04.10,3 April 2024,"what’s new[error: release notes not found] wait, that can’t be right… okay, it’s true that we don’t have any specific fixes to call out this time around, but we always want to use this space to let you know we’re constantly working to improve the app. and also to send you some good vibes. hope your april is off to a great start—no foolin’."
Slack 24.03.40,27 March 2024,"what’s newwe’ve been working hard behind the scenes to make sure everything is polished, well-oiled, and running as it should be. if you notice anything to the contrary, as always, let us know at feedback@slack.com!"
Slack 24.03.30,20 March 2024,what’s newwe cleaned the code to make sure everything’s running smoothly. slack—now with a streak-free shine.
Slack 24.03.20,13 March 2024,"what’s newthis week’s is not a huge update, but let that not convince you it’s unimportant. they can’t all be red-letter days (or updates), but each day we’re here is a good one. this update is a good one too."
Slack 24.03.10,6 March 2024,what’s newwhat’s more intimidating than a blank canvas or an unsorted file cabinet? perhaps a slack search where you can’t filter results for canvases or files. we’re filing this update as a definite improvement.
Slack 24.02.40,28 February 2024,"what’s newwe’ve sanded down some rough patches in the app so as to avoid any digital splinters. did you know “digital splinters” were a thing? they are now, but they aren’t anything you’ll need to worry about."
Slack 24.02.30,22 February 2024,"what’s newwelcome to your weekly catch-up with slack. today’s new feature: “catch up.” triage unread messages in an instant by swiping to mark as read and sending quick replies inline. and for those moments when your thumb goes rogue, there’s even an undo button. there’s no catch—try using catch up today!"
Slack 24.02.20,14 February 2024,"android users couldn’t trigger workflows in canvases if the workflow was displayed as a url. this was, in fact, detrimental to the flow of work. slack features need no dress codes, so however you choose to display your workflow, we’ll go ahead and run it."
Slack 24.02.10,7 February 2024,"what’s newhappy february—how are those new year’s resolutions coming along? we’re not here to judge. our resolution was to never just write “ and improvements” for our release notes, even when we don’t have any particular changes to call out. well, what do you know? looks like we’re keeping up our streak."
Slack 24.01.50,31 January 2024,"quick replies from push notifications were not being delivered, making the feature more of a slow and confusing notification dismissal. everyone disliked that. this update restores both speed and accuracy to your quick replies.like holding up a roadmap while driving, the android navigation bar was obscuring the view of slack’s message composer. are we showing our age with this reference? remember payphones? y2k? we now have everything in its right place.when faulkner wrote, “the past is never dead. it's not even past,” we’re pretty sure he was referring to this bug where huddles you’ve finished would continue to be visible in the home tab. our own view might be explained paraphrasing fitzgerald: “so we beat on, boats against the current, borne back ceaselessly into tiny bug fixes.”in an act of civil disobedience (or perhaps just stage fright), the keyboard refused to appear when trying to create a new channel. as frightening as change can be, it’s necessary if we ever want to grow. go forth and create; your keyboard will be there when you’re ready."
Slack 24.01.40,24 January 2024,"what’s newwe tidied the shelves, cleaned the windows and ran a white-gloved finger over every flat surface. just a little routine maintenance to ensure that everything is shipshape. full steam ahead!"
Slack 24.01.30,17 January 2024,"fixed: an extra space can sometimes make all the difference. “nowhere” can easily become “now here” with a tiny bit of separation. we also found that usernames with spaces made our search feature break. oops. luckily, there was just enough room to squeeze in a fix."
Slack 24.01.20,10 January 2024,"now that the holidays are over, you may be feeling like you need a break from direct communication. however, that’s not why the dm tab was showing up as completely empty within slack. that was just a good old-fashioned bug. new year, new bugs, same app you know and love, doing our best."
Slack 24.01.10,3 January 2024,"fixed: the emoji picker, when failing to load, was causing the app to hibernate quickly and without warning. what’s the best emoji for a sudden crash? we hope this latest update elicits a positive reaction (emoji or otherwise)."
Slack 23.12.21,14 December 2023,we’ve tinkered with the internal workings and polished some rough edges. the app is now better than it was.
Slack 23.12.20,13 December 2023,"what’s newwe tweaked some things too small to notice or too difficult to explain. we’ll return you to your regular, more interesting types of releases next time (we hope)."
Slack 23.12.10,6 December 2023,"fixed: if you built an app using block kit, you may have noticed that your `plain_text_input` fields were not saving the text that was entered. selective memory? a touch of forgetfulness? no matter the excuse, it’s been fixed.fixed: the app was crashing when scrolling backward in a channel, which was less than ideal (to put it mildly). time may only move in one direction, but your channel history should always be available to you.fixed: message links will now work across workspaces, so long as you are signed in to both. *ding* you are now free to move about the slack app.fixed: uploaded image previews were not rendering within slack connect channels. if previews should work anywhere, it ought to be in conversations with your external partners. better yet, they should just work everywhere, which is exactly what this update rectifies."
Slack 23.11.40,29 November 2023,what’s newminor tinkerings and tune-ups across the app. we appreciate your staying up to date! let us know if you run into any problems by dropping us a line at feedback@slack.com.
Slack 23.11.30,16 November 2023,"what’s newever have those weeks when it feels like nothing’s happening, but then you look back later and realize a lot of things actually were happening? this is one of those weeks for the app."
Slack 23.11.20,8 November 2023,"we’ve heard that, under the right circumstances, an uploaded video can “break the internet.” as it turns out, uploading a video can also “break the slack app.” if the evidence is circumstantial, this fix is direct: no more app crashes during video uploads.""the bug so nice, they fixed it twice!” a couple of months ago, we issued a fix for a bug where drafts were sometimes sent to the wrong channel on spotty connections. we thought we had gotten it all, but it seems we missed a spot. many thanks for your understanding."
Slack 23.11.10,1 November 2023,"what’s newthanks for updating the app! this round's changes don't lend themselves to tidy summaries, but we're doing all that we can to make sure the app is running as smoothly as possible. here's to incremental gains!"
Slack 23.10.40,25 October 2023,"what’s newlike a runner steadily improving their split times, this update is the sort that's less showy but no less important. you'll find the app a little faster, a little leaner, a little closer to the goal."
Slack 23.10.30,18 October 2023,what’s newwe tuned up the engine and gave the interiors a thorough cleaning. everything is now running smoothly again.
Slack 23.10.10,5 October 2023,"don't mind us—just removing some cobwebs. minor bugs and digital detritus, begone!"
Slack 23.09.40,27 September 2023,"what’s newalert: this will be the final version of slack that supports android 9. we know; goodbyes are hard. while you’ll still be able to continue using slack on this build, you’ll need to update your os in order to get all the goodies coming in future updates. thanks for helping us keep slack at the top of its game!fixed: dms with deactivated users were still appearing in the starred section of the sidebar. we’ll now more accurately represent when stars have taken their bow and stepped out of the limelight.fixed: drafted messages within a given channel were sometimes overlapping with the message input placeholder text in other channels. our staff physicists have concluded this was not, in fact, an instance of parallel universes colliding—it was just a good old-fashioned bug."
Slack 23.09.30,20 September 2023,"big changes are coming—our app is getting a makeover! we’re updating both desktop and mobile versions of slack with brand-new dedicated views designed to maximize focus, organization and productivity. depending on which plan you’re on, you may not see these changes immediately, but keep your eyes peeled over the coming weeks. in the meantime, you can read about what’s coming down the pike on our blog at slackhq.com.what’s newunified grid: tired of switching between workspaces on enterprise grid? all channels you’re a part of within an org can now be displayed in a single view. pretty nifty.tidier headers and footers: your dms, drafts, threads, and later sections are now easier to access while also taking up less screen real estate. your thumbs will thank you.activity: a brand-new activity section consolidates your mentions, threads, reactions and apps into one convenient location. it’s the one-stop shop for what’s new in your conversations.…and much more! did we mention our blog has all the details?"
Slack 23.09.20,13 September 2023,"fixed: in rare cases, when on a particularly weak connection, drafts would be sent to the next channel you opened rather than the channel it was intended for. can you imagine if mail carriers treated “return to sender” as “deliver to the next house on your route”? we’ve fixed the bugs and double-checked our postage to ensure that this doesn’t happen again."
Slack 23.09.10,6 September 2023,"what’s newis this the real life? is this just fantasy? checked in the app store, there's a fresh update just for me. we could wax rhapsodic about some of the new features we have in store, but at the moment we're just setting the stage. carry on, carry on—we'll have more for you in the future."
Slack 23.08.50,30 August 2023,"what’s newthis week we give you minor improvements too small to mention, but did you know that you can read through our past release notes anytime you’d like? discover a feature! see how far we’ve come! have yourself a sensible chuckle! they’re all available over at https://slack.com/release-notes/android."
Slack 23.08.40,23 August 2023,"like a storyteller who can’t stop once they get started, the talkback feature was reading the entirety of a slack message, even when you only wanted to hear a paragraph, a line or just a single word. that was fine if you’re not into the whole brevity thing, but for everyone else, talkback will now talk less when you ask it."
Slack 23.08.30,16 August 2023,"what’s newnothing new to announce this week, but did you know that you can read through our past release notes anytime you’d like? discover a feature! see how far we’ve come! have yourself a sensible chuckle! they’re all available over at https://slack.com/release-notes/android ."
Slack 23.08.20,9 August 2023,"what’s newlong channel names will now wrap in your sidebar, #instead-of-cutting-off-rando…fixed: tapping on a channel’s bookmarked links would result in an error message that “something went wrong.” we hope that every time a link works henceforth, you will think to yourself, “something went right.”fixed: when turned to landscape orientation, the send button was doing a whole lot of nothing. this is fixed, so you may compose (and send) your messages in widescreen aspect ratio like the cinematic artist you are.fixed: in the “new message” composer, app and bot names were not appearing as options to message. who are we to say you can’t be pen pals with a bot? we’ve added them as options; brushing up on binary is up to you."
Slack 23.08.10,9 August 2023,"what’s newfixed: not a lot to share this week, but rest safe in the knowledge that we’re at work behind the scenes making sure everything is in tip-top shape. if you notice anything that shouldn’t be (or things that aren’t that ought to), drop us a line at feedback@slack.com!"
Slack 23.07.40,26 July 2023,"fixed: trying to use the same custom emoji multiple times in the same message resulted in only one instance of the emoji posting. brevity may be the soul of wit, but consecutive custom emoji are awesome, so that’s been fixed."
Slack 23.07.30,19 July 2023,"fixed: [in large tabloid font] “slack dis-connect?!” in some cases, adding folks to a group dm that included slack connect users caused the app to crash. we’ve pushed a late-breaking update to all phones.fixed: check, please! at times, sending a reply to a thread with the “also send to channel” box checked would result in the box stealthily unchecking itself. we’ve added an additional check for a check on all threads in the checkout line."
Slack 23.07.20,12 July 2023,"fixed: not to burst anyone’s bubble, but it seems that android conversation bubbles were sometimes sticking around long after the messages in question had been read. we popped in a fix. break out the bubbly!"
Slack 23.07.10,5 July 2023,"fixed: our magnifying glass illustration was obscuring search results, the irony of which is not lost on us. we hope you can see a little clearer now in its absence."
Slack 23.06.40,28 June 2023,fixed: “it’s now or never” seemed to be the implicit message when the app would crash after responding “be there soon” to a huddle invitation. we know that there are myriad things pulling for your attention. take your time; we’ll hold the huddle for you.
Slack 23.06.30,21 June 2023,"fixed: in larger group dms, scheduling a message was triggering the “no backsies” clause, whereby the app would crash suddenly if you tried to make any changes from the drafts & sent screen. we appointed our amazing mobile engineers to be “it,” and they went ahead and tagged out this bug."
